Time,Result ID,URL,Load zone,User scenario,Status code,RTT min,RTT max,RTT avg,Count,Value,Method,Content types,Compressed count,Avg content length,Avg compressed content length,Content type,Custom metric/Page title,Custom metric type,Log severity level,Log message,Standard deviation,Median
2018-05-29 20:12:53.872080+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,56.99999999999999,,,,,,,,,,,,
2018-05-29 20:12:56.891938+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,57.99999999999999,,,,,,,,,,,,
2018-05-29 20:12:59.910818+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,59.0,,,,,,,,,,,,
2018-05-29 20:13:02.932104+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,60.0,,,,,,,,,,,,
2018-05-29 20:13:05.950838+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,61.0,,,,,,,,,,,,
2018-05-29 20:13:08.970660+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,62.0,,,,,,,,,,,,
2018-05-29 20:13:11.990314+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,63.0,,,,,,,,,,,,
2018-05-29 20:13:15.010831+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,64.0,,,,,,,,,,,,
2018-05-29 20:13:18.029222+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,65.0,,,,,,,,,,,,
2018-05-29 20:13:21.048496+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,66.0,,,,,,,,,,,,
2018-05-29 20:13:24.065035+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,67.0,,,,,,,,,,,,
2018-05-29 20:13:27.085099+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,68.0,,,,,,,,,,,,
2018-05-29 20:13:30.101043+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,69.0,,,,,,,,,,,,
2018-05-29 20:13:33.121335+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,70.0,,,,,,,,,,,,
2018-05-29 20:13:36.140496+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,71.0,,,,,,,,,,,,
2018-05-29 20:13:39.160122+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,72.0,,,,,,,,,,,,
